sub_class,rock_formation,rock_strat,rock_fr_dens_min,rock_fr_dens_max,rockDensMin,rock_dens_max,rock_poro_min,rock_poro_max,rock_poro_mean,rock_perm_min,rock_perm_max,rock_perm_mean,rock_E_min,rock_E_max,rock_E_mean,rock_nu_min,rock_nu_max,rock_nu_mean,rock_K_min,rock_K_max,rock_G_min,rock_G_min,rock_biot_min,rock_biot_max,rock_phi_min,rock_phi_max,rock_c_min,rock_c_max,rock_ucs_min,rock_ucs_max,rock_T0_min,rock_T0_max,rock_lambda_min,rock_lambda_max,rock_beta_min,rock_beta_max
Fracking (injection+production?),Haynesville Play,Shale,,,2490,2620,0.03,0.06,0.05,,,,20,60,40,0.15,0.35,0.25,9.52,66.67,8.7,22.22,,,,,,,,,,,,,,
Fracking (injection),Cotton Valley,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fracking (injection),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fracking (injection),"Granite Wash Play, Andarko Basin",Sandstone,,,,,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fracking (injection),Utica Shale,Shale,,,,,0.01,0.06,0.04,2.96E-18,8.83E-14,2.16E-14,22.1,48.8,33.1,0.16,0.36,0.24,10.83,58.1,9.53,17.94,,,,,,,,,,,,,,
Fracking (injection),"Woodford and Viola, Ardmore Basin",Shale,,,2200,2900,0.01,0.03,0.05,4.36E-19,1.51E-17,7.77E-18,6.9,10.3,8.6,0.27,0.37,0.32,5,13.21,2.72,3.76,,,,,,,4.8,8.3,,,,,,
Fracking (injection),Woodford shale and Viola lime,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fracking (injection),"Woodford Shale, Ardmore Basin",Shale,,,2200,2900,,,0.16,,,1.00E-16,,,17.3,,,0.31,,,,,,0.94,,,,,,,,,,,,
Fracking (injection),Lance Formation,Sandstone,,,2630,,,,0.06,,2.47E-17,5.90E-18,,,,,,,,,,,,,,,,,,,,,,,,
Fracking (injection),Utica-Point Pleasant,Shale,,,2680,,0.06,,0.06,,1.00E-16,1.00E-16,,17.8,17.8,0.27,,0.27,,5.93,,8.9,,,,,,,,,,,,,,
Fracking (injection),Utica-Point Pleasant,Shale,,,2680,,0.06,,0.06,,1.00E-16,1.00E-16,,17.8,17.8,0.27,,0.27,,5.93,,8.9,,,,,,,,,,,,,,
laboratory hydraulic fracture experiments,Westerly granite,Granite,,,,,0.01,,0.01,4.00E-19,,4.00E-19,37.5,,37.5,0.25,,0.25,25,,15,,0.45,,,,,,,,,,,,,
Research (injection),Triassic Xujiahe formation,"siltstone, fault breccia and gouge",20,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stimulation,,Carbonate,,,,,0.05,0.2,0.13,1.00E-17,1.00E-12,2.80E-13,18,45,31.5,0.2,0.2,0.2,10,25,7.5,18.75,,,,40,1,20,,,5,10,,,,
In-situ fault slip experiment,Toarcian shale,Shale,,,,2700,0.08,0.13,0.11,1.00E-22,1.00E-18,5.00E-19,4.5,20.55,12.53,0.23,0.4,0.32,2.78,34.25,1.83,7.34,,,,,,,,,,,,,,
Deep fluid injection,,Gneiss,,,,,0.01,,0.01,5.00E-18,1.30E-17,9.00E-18,,,,,,,,,,,,,,,,,209.5,,,,,,,
Deep fluid injection,,,,,,,,0.03,0.03,1.00E-17,2.00E-16,1.05E-16,90,95,95,0.27,0.28,0.28,65.22,71.97,35.43,37.11,,,,,,,209.5,,,,,,6.30E-05,
Deep fluid injection,,Gneiss,,,,,,0.05,0.05,1.00E-17,2.00E-16,1.05E-16,79,100,89.5,0.23,0.29,0.26,48.77,79.37,32.11,38.76,,,,,,,209.5,,,,,,6.30E-05,7.50E-05
Laboratory fault slip experiment,Bentheim sandstone,Sandstone,,,,,0.19,0.25,0.22,1.00E-12,1.50E-12,1.25E-12,18.38,,18.38,0.22,,0.22,10.94,,7.53,,,,,,,,,,,,,,,
Water injection,,"Volcanics (Basalt, Andesite and Tuff), Shale and Quartz-diorite", ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research (injection),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research (injection),Mahanagdong Claystone formation and Mahiao Sedimentary Complex formation,"claystone,siltstone, sandstone, and the conglomerate containing quartz and monzodiorite fragments", ,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fracturing,Ävrö granodiorite,Granodiorite,,,2677,,,0.01,0.01,,1.00E-16,1.00E-16,55.9,88.7,71.7,0.11,0.34,0.25,23.89,92.4,25.18,33.1,,,59,60,20,28,150,240,10,16,2.81,3.76,,
Fracturing,Aar Massive,Granodiorites and granites,,,,,,0.01,0.01,1.10E-18,,1.10E-18,38,43,40.5,0.36,0.37,0.37,45.24,55.13,13.97,15.69,0.48,0.71,,,,,,,,,,,,
In-situ fault slip experiment,Opalinus caly,shaly facies,,,2500,,0.13,,0.13,1.00E-21,1.00E-18,5.01E-19,2.8,7.2,3.2,0.24,0.33,0.3,2.7,7.06,1.13,2.71,0.7,,,,,,,,,,,,,
Laboratory fault slip experiment,,Schist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater injection,,Carbonarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater injection,Upper Cretaceous-upper Miocene,limestone,,,,,,,0,5.40E-15,7.60E-15,6.50E-15,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater injection,"Boone Formation, Hunton Group and Arbuckle/Knox Group",limestone and dolostone,,,,,0.04,0.06,0.05,2.00E-13,1.00E-12,6.00E-13,,,28,,,,2.6,,30,,,,,,,,,,,,,,,
Wastewater injection,Mt. Simon (basal) Sandstone,Sandstone,,,,,0.09,0.1,0.1,,1.00E-13,1.00E-13,,62,62,0.19,,0.19,,20.67,,31,,,,,,,,,,,,,,
Gas/Brine extraction and Wastewater (injection),Ellenburger carbonates,Carbonate,,,,,,0.04,0.04,1.00E-15,5.00E-13,2.51E-13,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater injection,Ellenburger carbonates,Carbonate,,,,,,0.04,0.04,1.00E-15,5.00E-13,2.51E-13,,,,,,,,,,,,,,,,,,,,,,,,
